
time;ax;ay;az;wx;wy;wz;
0,094348;0,1424;-0,4107;-0,1677;-0,0745;0,3169;0,1506;
0,194549;0,4298;0,8255;0,1603;0,0550;0,3193;0,0382;
0,294454;-0,3388;0,0380;0,0198;-0,0122;0,2925;0,0675;
0,394637;0,3830;-0,9621;0,0473;-0,0367;0,3120;0,1689;
0,499301;-0,0548;-1,0015;-0,0683;-0,0379;0,2863;0,1677;
0,600074;-0,0105;0,3255;0,1188;0,0990;0,2521;0,0480;
0,700038;-0,1250;-0,4210;-0,3910;0,0208;0,3120;0,0455;
0,800253;0,1584;0,3677;0,7300;0,0061;0,3474;0,0638;
0,900160;-1,0287;-0,5441;0,8743;0,0428;0,3450;0,0211;
1,000522;0,3985;0,8052;0,3807;0,0452;0,3438;0,0785;
1,100772;0,3293;-0,0973;-0,1342;-0,0037;0,2949;0,0174;
1,200895;0,0042;-0,2880;0,1682;-0,0159;0,3511;0,0699;
1,301038;-0,2904;0,6718;-1,7846;0,0672;0,3548;0,0480;
1,401989;-0,6987;-1,1443;-1,3052;0,0904;0,4097;0,1005;
1,502480;-0,6983;0,3768;-1,2827;0,0098;0,3254;0,0186;
1,602181;-0,7486;-0,0174;-0,3523;0,0171;0,4171;0,0993;
1,702278;-0,4615;0,5346;0,6297;-0,0049;0,4354;0,0907;
1,804175;-0,6712;-1,7760;-1,6395;-0,0733;0,3682;0,1127;
1,903366;-1,2173;0,0603;-0,7358;-0,0757;0,3829;0,0651;
2,004034;-1,7560;-0,1143;-0,3005;-0,0134;0,4281;0,0480;
2,103910;-1,2024;-0,4623;-0,0770;-0,0244;0,4293;0,0321;
2,204647;-1,7858;1,0408;0,5939;-0,0012;0,4562;0,1127;
2,304258;-1,7576;-0,2946;0,2182;-0,0574;0,4391;0,1652;
2,404424;-0,9543;0,8402;1,0818;0,0244;0,5221;0,0919;
2,504498;-0,4340;1,1468;0,3809;-0,0599;0,4220;-0,0180;
2,604465;-2,4454;-1,0505;-0,4023;-0,0122;0,4317;0,1469;
2,704800;-2,7001;-0,3700;-0,1913;-0,0696;0,4574;-0,0131;
2,804809;-1,4321;1,1365;0,6660;0,0574;0,5026;0,1249;
2,904894;-1,7030;-0,6766;-0,2054;-0,0415;0,4623;0,1726;
3,005739;-2,2753;-0,6609;0,5478;-0,0354;0,4501;0,1359;
3,105717;-2,3890;-0,8848;2,0561;-0,0745;0,4146;0,0858;
3,205845;-1,9740;-0,3116;2,9014;-0,0305;0,4207;0,1164;
3,305945;-1,7264;0,5560;3,8770;-0,0269;0,3670;0,1432;
3,406056;-1,3027;0,4345;4,0131;-0,0648;0,4317;0,0101;
3,506299;-1,7953;-0,1174;4,8294;-0,0586;0,3719;0,0516;
3,606329;-1,3557;-1,1000;4,3378;-0,0538;0,4806;0,1897;
3,706481;-2,2909;-1,4193;1,9341;-0,0623;0,3853;0,0797;
3,806387;-2,2385;-1,4495;3,4750;-0,1454;0,5551;0,0895;
3,907100;-2,1455;-1,7404;2,4085;-0,1393;0,5087;0,0602;
4,007192;-3,1242;-0,6790;3,5197;-0,0061;0,5380;0,1078;
4,107481;-2,2280;-0,9384;3,9690;0,0171;0,6199;0,0870;
4,207988;-3,2283;-0,6217;2,7991;-0,0037;0,5490;0,0101;
