
time;ax;ay;az;wx;wy;wz;
8,210941;1,4061;-1,0917;-0,5692;-0,1135;0,0970;-0,2123;
8,310808;-1,2565;-5,7632;-0,0222;-0,3786;0,1776;0,2434;
8,410916;-0,0942;-1,9341;-1,7113;-0,3969;0,0811;-0,2624;
8,511285;-1,3475;-0,4075;1,6089;-0,0304;0,0200;0,1750;
8,611458;-0,6399;-5,6904;-1,3122;-0,2014;-0,0582;0,5916;
8,711862;0,5471;-0,2038;3,4825;-0,0927;-0,1547;0,2251;
8,813039;2,6870;0,9011;3,4383;-0,0084;-0,0032;-0,1927;
8,912053;0,2178;-0,0854;2,1974;-0,0011;-0,0557;0,0089;
9,012319;0,3810;-0,0561;3,3100;0,1626;0,0188;-0,0180;
9,112288;1,0779;-2,0771;3,8891;0,0344;-0,1058;0,1323;
9,212796;1,8271;-0,3356;3,2196;-0,1330;0,0017;-0,0840;
9,313420;1,4780;-1,3839;3,3990;-0,1281;0,0432;0,0272;
9,413101;0,2571;-0,7631;1,3237;-0,0451;0,0176;-0,0816;
9,514459;1,2673;0,3134;1,8123;0,0466;-0,0447;-0,1072;
9,613636;0,0965;0,2615;2,3351;0,0221;0,0334;-0,1048;
9,714564;1,7220;0,5781;2,0920;-0,0793;-0,0057;-0,1182;
9,814722;0,7442;-0,5888;2,2089;0,0551;-0,0582;0,0162;
9,914648;0,9862;-1,8085;2,9960;0,1749;0,0677;-0,0498;
10,014908;1,6969;-0,3561;2,0794;-0,0194;-0,0435;-0,0901;
10,114659;0,4531;-1,3754;2,8103;-0,0060;0,0481;0,0321;
10,215560;0,8395;-1,6217;3,4781;0,0832;-0,0215;0,0809;
10,315416;1,6533;-0,2086;2,8142;-0,0438;0,0505;-0,0620;
10,415690;0,5036;-0,9068;2,6549;0,0588;0,0029;0,0663;
10,516714;1,6545;-0,5462;3,6225;-0,0536;0,0151;0,0174;
10,616229;0,4086;0,3110;2,5272;-0,0255;0,0017;-0,0107;
10,717170;2,0504;-0,5593;1,3596;-0,2308;-0,1791;-0,0559;
10,816866;1,2910;-3,0993;0,9608;-0,7341;-0,2182;0,2214;
10,916798;2,1703;1,6939;5,6606;0,1846;0,4293;-0,3198;
11,018950;-0,0446;-1,2509;4,3489;0,3923;0,0933;-0,0571;
11,118854;-0,5199;2,5731;4,5520;-0,0707;-0,0496;-0,1426;
11,219151;1,6744;0,0252;2,8817;0,0136;-0,0924;0,0858;
11,319389;2,5761;-0,8973;3,6179;-0,0170;0,0530;0,0272;
11,419363;1,4776;-2,5697;2,4197;-0,1220;-0,0557;0,0638;
11,519462;2,3072;-1,4754;2,2643;0,0124;-0,0240;0,0712;
11,620031;2,5439;-0,6136;2,8045;-0,0084;0,0029;0,0308;
11,722788;2,6972;-1,7491;1,6866;-0,0573;-0,1156;-0,0156;
11,822650;1,1691;0,1282;2,7268;-0,0707;-0,1229;0,0150;
11,923443;3,9054;0,5557;2,3642;0,0148;-0,2781;0,0956;
12,023546;3,0426;-1,0439;2,7541;0,0124;-0,1290;-0,0461;
12,123334;1,7729;-0,6994;3,7640;0,0063;-0,1205;-0,0974;
12,223608;1,8469;0,7007;3,0310;-0,0279;-0,0570;-0,1634;
12,324082;1,0962;-1,2241;2,4602;-0,0451;-0,0032;-0,0999;
12,424219;0,3241;-1,1751;3,7660;-0,0133;0,0457;-0,0498;
12,524649;0,0942;-2,1816;2,0608;0,0954;-0,0240;0,0272;
12,624542;1,2726;-0,6294;2,9436;0,0392;0,0408;-0,0828;
12,724569;-1,3769;-0,5039;4,5169;0,0197;-0,0154;0,1066;
12,824813;1,7444;1,9757;3,7650;0,1126;0,1593;-0,0180;
12,924951;0,5266;-0,8962;2,0389;0,1663;0,0090;-0,0803;
13,025060;-0,1424;0,2767;1,9033;-0,0597;-0,0313;-0,0192;
13,125778;-0,2777;0,5139;0,0609;-0,0121;0,0237;-0,0192;
13,225665;-0,5287;0,2594;-0,0643;0,0307;0,0334;0,1090;
13,325758;0,3973;-0,6941;1,5321;0,0380;0,1141;0,0162;
