
time;ax;ay;az;wx;wy;wz;
0,092417;-0,0153;-0,0932;-0,2709;-0,0609;-0,0015;0,0147;
0,193087;-0,1943;0,0548;-0,2025;-0,0145;-0,0137;0,0147;
0,292730;-0,1643;-0,0900;-0,1082;-0,0023;0,0058;0,0049;
0,393467;0,2297;0,2874;0,4157;0,0111;0,0168;-0,0012;
0,493546;0,0193;-0,1847;-0,2041;-0,0011;0,0058;0,0073;
0,594168;-0,0482;0,4086;-0,6635;-0,0121;-0,0333;-0,0086;
0,694231;-0,0221;0,4325;-0,3856;0,0564;-0,0235;0,0000;
0,795327;0,0502;0,3245;-0,8042;-0,0793;0,0205;-0,0257;
0,896330;-0,7864;-0,0640;-0,9186;-0,0805;-0,0492;0,0403;
0,997344;0,1428;0,2362;0,3426;0,0930;-0,0101;-0,0195;
1,098091;0,6663;0,1690;-0,1917;0,0064;-0,0260;-0,0782;
1,198123;0,2669;0,6702;0,2037;0,0406;-0,0162;-0,0428;
1,299357;-0,2431;0,7554;0,2610;-0,0254;-0,0712;-0,0232;
1,398792;-0,5686;-0,8307;-0,6353;-0,0693;-0,0980;0,0147;
1,500209;0,0021;0,9413;0,5380;0,0089;-0,0015;-0,0611;
1,601139;-0,7419;-0,0814;-0,3497;-0,0058;-0,0602;-0,0086;
1,702102;-0,9229;-0,7050;-0,6256;-0,0351;-0,0504;0,0269;
1,802529;-0,2869;0,2393;0,0643;0,0247;0,0070;-0,0305;
1,903116;-0,6665;1,0519;0,4407;0,0064;0,0119;0,0269;
2,002941;-0,5074;-0,9678;-1,1351;-0,0180;0,0461;-0,0819;
2,103663;-1,5197;-0,1506;-0,0340;-0,0681;0,0425;0,0367;
2,204792;-1,5809;1,2951;1,5772;0,0748;0,1903;0,1332;
2,305822;-0,9032;0,7592;0,5504;0,0345;0,2123;0,0269;
2,405807;-0,8711;-0,7568;-1,3798;-0,0608;0,2013;-0,0428;
2,506409;-1,1330;0,4925;-1,0858;0,0626;0,2819;-0,0269;
2,606926;-1,3142;1,7300;0,7360;0,0907;0,4615;0,1393;
2,708894;-1,9054;-0,2159;-0,0619;-0,0009;0,2892;0,0782;
2,808889;-1,5541;0,4928;0,6449;0,0027;0,4249;0,1625;
2,909591;-1,7316;0,4987;0,0979;0,0589;0,4187;0,1600;
3,009450;-2,0731;1,0430;-0,1743;0,0345;0,4640;0,1930;
3,110123;-2,0405;0,4601;-0,4587;0,0504;0,5116;0,0819;
3,210340;-2,2473;-0,0834;1,0609;0,0748;0,5788;0,1772;
3,310247;-2,1450;-0,4881;0,3272;0,0394;0,4786;0,1564;
3,410899;-2,2792;-0,0336;-1,6258;-0,0486;0,4420;0,2297;
3,512322;-1,4445;0,7917;-0,9110;-0,0473;0,4701;0,1564;
3,613164;-1,3931;0,4605;-0,2970;0,0663;0,4126;0,1161;
3,713555;-1,5628;0,8207;-0,7171;0,1078;0,3406;0,1222;
3,813871;-0,1070;0,9904;-1,7270;0,0443;0,3381;0,1136;
3,914636;-0,7499;0,2548;-3,0691;-0,0082;0,1072;0,0342;
4,014428;-1,2208;0,0125;-2,9555;-0,0339;0,0938;0,0782;
4,114853;-0,7966;-0,1070;-2,9115;0,0272;0,0718;-0,0367;
4,215115;-1,9633;-0,2417;-2,1241;-0,0864;0,1231;0,0269;
4,317244;-1,0153;1,1033;-0,6646;0,1689;0,1793;-0,0024;
4,417344;-1,8636;-0,0628;-2,6935;-0,1072;0,0046;-0,0574;
4,517623;-1,3992;-0,3458;-1,8071;0,0125;0,0205;-0,0855;
4,618244;-1,1603;-0,8600;-2,0960;-0,0632;0,0388;-0,0965;
4,718983;-0,2105;1,5333;-0,1641;0,0846;0,1231;0,0134;
4,818864;-1,2115;-0,6772;-1,3830;-0,1084;0,0559;0,1271;
4,919496;0,1293;0,8248;0,0646;0,1042;0,1341;-0,0635;
5,019892;-0,1571;1,8371;1,5583;0,3082;0,0254;0,0086;
5,120771;-0,5325;-0,8984;0,6739;-0,0192;0,0620;-0,0195;
5,220866;0,9161;0,0974;-1,2849;0,0052;0,0217;0,0232;
5,322304;-0,0123;2,2281;4,1632;0,2495;0,0119;0,0354;
5,421892;-0,7831;-0,3919;-1,5104;0,0565;-0,1335;0,0623;
5,522241;1,1465;0,7626;0,9357;0,1799;-0,0089;-0,0134;
5,623347;-0,2249;0,5124;-0,2233;0,0504;0,0449;0,0257;
5,723842;-0,2317;-0,0695;2,3660;0,1090;0,0205;-0,1136;
5,825089;-2,0008;-2,5895;1,1126;0,2679;-0,0150;0,0965;
5,925313;-0,3100;-0,9561;-0,5390;-0,1341;0,0535;0,0073;
6,025408;-1,5546;-5,7716;-3,6438;-0,6888;-0,3228;0,4777;
6,126274;-1,1558;-5,9398;1,0401;0,0663;-0,0027;-0,0525;
6,226778;0,9147;3,1446;1,7495;0,3522;0,1206;-0,0061;
6,327441;-3,5776;-3,1131;0,2269;-0,2685;0,0473;0,2578;
6,428292;-0,8293;-0,1347;-0,4360;0,4450;0,0974;0,2236;
6,529332;0,0375;-0,1851;1,2867;-0,2318;0,0816;0,0806;
6,629861;-0,0460;-1,5538;-1,2141;0,0113;0,0095;-0,0134;
6,730351;-0,1007;-1,8739;0,1736;-0,1097;-0,0076;0,0977;
6,830725;-1,1502;-0,4419;-1,1101;-0,1781;-0,0492;0,1368;
6,932706;-0,5257;0,6473;-0,6428;0,0223;-0,0174;0,0819;
7,035204;0,2399;-2,6294;-0,6113;-0,1585;-0,0101;0,0977;
7,134827;-1,4704;-3,3697;-1,7851;-0,2758;-0,1885;0,3861;
7,234721;-0,7333;1,4642;3,2460;0,2019;0,0070;0,4679;
7,335048;-0,5984;2,0080;2,0454;0,0822;0,0974;-0,0648;
7,435252;1,8224;0,2693;-0,0890;-0,1023;-0,0614;-0,0648;
7,535444;0,4426;-1,8135;-0,3009;-0,0950;-0,0357;-0,0452;
7,636436;2,2873;-3,2412;0,2880;-0,1341;0,0510;-0,1454;
7,737512;2,8640;0,9732;2,5931;0,1604;0,1842;-0,1539;
7,838852;0,7362;0,0071;1,5745;0,1151;-0,1017;-0,0391;
7,939192;1,1789;0,1751;2,0081;-0,0925;-0,0003;-0,0110;
8,040382;1,8580;-1,2323;1,0713;0,0272;0,0058;-0,1161;
8,139593;1,4618;-0,0056;3,4682;-0,0046;0,0046;-0,0623;
8,241217;2,3083;-1,6395;4,3855;-0,0486;0,0681;0,0244;
8,342305;1,1180;-2,6130;2,3389;-0,1280;0,0205;0,0965;
8,443072;1,7208;-0,9781;3,9418;0,0663;0,0192;0,0635;
8,543498;2,6777;-2,3124;1,9531;-0,0425;0,0913;-0,0244;
8,644099;1,5591;-0,6989;2,8165;0,0724;0,0559;-0,0648;
8,744020;1,1933;-2,0189;2,0950;-0,0400;-0,0223;0,1356;
8,846455;0,4078;-0,1599;2,7181;0,0492;-0,0577;0,4496;
8,945286;4,1122;-2,5713;-0,0207;-0,1133;-0,1420;-0,1710;
9,046078;4,2658;1,3245;1,0260;-0,1781;0,2306;-0,1319;
9,146971;3,2000;0,5647;4,5943;0,2447;0,0877;-0,0916;
9,247344;0,3693;-2,4521;-0,7567;-0,1243;-0,0211;-0,0183;
9,347615;0,3488;-1,7113;1,8825;0,0467;-0,1005;0,0012;
9,450435;3,1249;-1,9877;1,6381;-0,1023;-0,0553;-0,0623;
