
time;ax;ay;az;wx;wy;wz;
0,090757;0,5689;0,1759;-0,1148;-0,0473;0,0032;-0,0301;
0,190763;-0,1451;-0,0982;-0,1946;-0,0254;-0,0102;0,0102;
0,294713;-0,3113;-0,0103;-0,0113;0,0064;-0,0127;0,0127;
0,390956;0,1258;0,2040;-0,0745;-0,0119;0,0032;-0,0020;
0,491465;0,1266;-0,0170;-0,0527;0,0015;0,0069;-0,0081;
0,591386;-0,2846;-0,1137;0,2310;0,0199;0,0044;0,0127;
0,691747;-0,0965;-0,0980;-0,3835;0,0382;-0,0066;0,0102;
0,793099;-0,1947;0,0311;-0,9161;-0,0229;-0,0127;0,0127;
0,893688;-0,3118;0,4007;-0,4489;0,0382;-0,0127;-0,0057;
0,993593;0,3530;0,5554;-0,5403;0,0382;-0,0444;-0,0631;
1,093695;-0,3415;0,4541;-0,9756;-0,0644;-0,0664;-0,0020;
1,194331;0,0139;0,6554;-0,0251;0,0638;-0,0432;-0,0313;
1,294694;-0,2583;0,4209;-0,4982;-0,0254;-0,0493;-0,0521;
1,393739;0,6578;0,4762;-0,0766;0,0027;-0,0371;-0,0765;
1,493910;-0,9104;0,2750;-0,5307;-0,0547;-0,0738;0,0322;
1,594786;0,3227;0,0302;0,1374;0,0553;0,0777;-0,0166;
1,695602;-1,0131;-0,4393;0,0335;-0,0535;-0,0090;0,0505;
1,795256;-0,5362;0,0469;0,0554;-0,0205;0,0619;0,0139;
1,896150;0,2701;-0,1250;0,2340;0,0492;0,1205;0,0041;
1,996478;-0,3155;-0,1538;0,0382;-0,0535;0,0631;0,0530;
2,096910;0,1312;0,3238;0,1558;-0,0131;0,1388;0,0041;
2,196876;0,0543;0,0194;0,6552;0,0345;0,1914;0,0176;
2,297016;-0,2948;-0,0169;0,5113;-0,0034;0,1620;0,0396;
2,397411;-0,4647;-0,2606;0,2805;-0,0229;0,2231;0,0713;
2,497542;0,2642;0,0331;0,4927;-0,0058;0,2500;0,0273;
2,597929;-0,5242;-0,3758;0,4329;0,0027;0,2402;0,0811;
2,698793;-0,2390;0,0177;0,3615;0,0308;0,2928;0,0677;
2,798804;-0,1929;0,6413;0,6936;0,0418;0,3380;0,0713;
2,901308;-0,4902;-0,9540;-0,3969;-0,0522;0,3135;0,0591;
3,000107;-0,4631;1,0768;0,1703;0,0504;0,3856;0,0835;
3,100378;-0,3631;-0,2707;-0,2254;0,0602;0,4113;0,0713;
3,200394;-0,6849;-0,9196;-0,3854;-0,0657;0,3819;0,0933;
3,300689;-0,4412;0,7485;0,7750;0,0199;0,4467;0,1055;
3,401282;-0,4455;-0,3448;-0,0245;0,0076;0,4418;0,0945;
3,501579;-0,2476;-0,1625;-0,2154;-0,0351;0,4345;0,1055;
3,601677;-0,2594;0,6891;0,2395;0,0150;0,4516;0,1043;
