
time;ax;ay;az;wx;wy;wz;
8,237513;-0,5379;-0,4981;0,6273;0,0870;-0,0215;0,0392;
8,338031;0,0801;0,0221;0,5543;-0,0400;0,0078;-0,0157;
8,439394;-0,1545;1,0171;0,3468;0,0333;0,0029;0,0368;
8,540249;-0,0042;0,1632;0,6071;0,0528;-0,0105;-0,0499;
8,641816;0,6693;0,4495;0,0652;-0,0522;-0,0289;-0,1294;
8,741459;0,3638;-0,4259;-0,5518;-0,0547;-0,1071;-0,1196;
8,842205;0,3305;0,1563;0,2496;-0,0974;-0,0411;-0,0756;
8,944392;0,1650;-0,6727;-1,1948;-0,1231;-0,0386;-0,1049;
9,045196;-0,0954;0,0526;0,0839;0,0040;-0,0118;0,0686;
9,150727;-1,1292;-0,2861;1,3199;-0,0119;-0,0325;0,0295;
9,245823;-0,9131;-1,2054;-0,4981;-0,0840;-0,1400;0,0698;
9,346366;0,5901;1,3677;0,5886;-0,0229;-0,0020;-0,0121;
9,447180;-0,1013;-0,3958;0,5656;-0,0034;-0,0008;-0,0218;
9,548293;-0,0315;-0,3856;0,0871;-0,0901;0,0139;-0,0560;
9,648138;0,4953;0,5669;0,1917;0,0394;0,0396;-0,0292;
9,749589;-0,6937;-0,3360;1,9074;-0,0596;0,0591;0,0441;
9,849874;-1,0251;-1,5110;-1,3500;-0,0302;-0,0399;-0,0878;
9,950533;-0,5744;0,6242;1,7645;0,1042;0,1031;0,0576;
10,050754;-0,2140;-0,2607;0,1876;-0,0596;0,0689;0,0392;
10,155315;-0,8773;0,4927;1,5807;-0,2563;0,0457;-0,0988;
10,252381;-2,4156;-1,0787;1,0560;0,3412;-0,1266;0,1590;
10,353883;0,0500;0,0166;-1,0289;-0,1341;0,0396;0,0942;
10,455025;-2,3436;0,4310;0,4845;-0,3271;0,1141;0,3960;
10,555427;-1,2277;-0,7155;1,6120;0,1604;-0,0863;0,0857;
10,656405;0,3403;0,6395;-0,5650;0,0235;-0,0276;-0,0182;
10,757369;-0,1489;0,6277;0,3867;0,1628;0,0224;0,0466;
10,858136;0,4715;-0,0884;0,4489;-0,0241;0,1434;-0,0194;
10,959302;0,2834;-0,5448;1,0802;-0,0046;0,0432;0,0258;
11,060402;-0,0927;-2,6831;-0,6924;0,0040;0,0359;-0,0536;
11,161504;-0,1707;0,4597;1,3885;0,0712;0,0664;0,1370;
11,261861;1,6383;-1,3739;0,6036;-0,3161;0,0701;-0,0414;
11,362516;-1,8656;1,2576;4,6184;0,2117;0,2069;0,1223;
11,464109;1,5172;-1,5983;-0,7609;-0,0644;-0,1804;0,0002;
11,564090;2,4741;-0,3805;-1,8763;-0,2343;-0,0008;-0,3016;
11,665930;0,0751;-0,4725;3,4103;0,0761;0,1214;0,3031;
11,766024;-2,3545;1,8920;1,4663;-0,0156;0,0224;0,0698;
11,865890;0,8621;-0,3457;1,5616;-0,2257;-0,0961;0,0539;
11,966166;1,3571;-0,3595;1,3972;0,0467;0,0163;0,0221;
12,066098;0,7287;0,6931;1,8572;0,1005;0,0567;-0,0243;
12,166177;0,1584;-0,9012;0,0835;-0,1048;-0,0276;0,0441;
12,266327;-0,8446;0,1841;1,8626;0,0345;0,0053;0,1993;
12,366832;0,5466;0,1559;1,0548;0,0748;0,0298;-0,0353;
12,467864;-0,4242;-1,2507;-0,3774;-0,0693;-0,0460;-0,1587;
12,568773;-0,1213;-0,7596;-0,0983;0,0382;-0,0619;0,0417;
12,669441;1,2561;-1,9213;0,1699;-0,0498;0,0750;0,0392;
12,770291;0,6947;1,5491;3,8294;0,0357;0,0542;0,1639;
12,870469;0,8267;-1,3802;-0,0054;-0,0278;-0,0313;-0,1208;
12,970670;-0,2841;0,0524;0,8448;-0,0437;-0,0619;0,1174;
13,071721;1,0708;-1,9748;-0,2694;-0,0925;-0,0680;-0,0512;
13,172653;-0,2186;0,7597;2,1142;-0,0339;-0,1132;0,0527;
13,273889;1,6979;0,7561;1,8011;0,0089;0,0799;-0,0292;
13,374039;0,1041;-0,5757;0,5252;0,0040;0,0432;-0,0609;
13,474986;-0,1508;-1,4869;0,1139;-0,0669;-0,0790;-0,0243;
13,575230;-0,1940;-1,2867;0,1759;-0,1378;-0,0704;-0,0573;
13,675777;-0,4443;0,4781;1,1818;0,0040;-0,0411;0,0356;
13,775785;0,5962;0,0357;1,2906;0,0431;0,0224;0,0075;
13,875756;0,2932;-0,5207;0,3357;-0,0266;-0,0093;-0,0023;
13,977061;1,0481;0,2678;1,1325;0,0199;0,0127;-0,0536;
14,076679;0,3933;0,9304;1,4920;0,0211;0,0261;0,0234;
