
time;ax;ay;az;wx;wy;wz;
0,093626;-0,0042;-0,1355;0,3250;-0,0527;0,0356;-0,0011;
0,193624;0,0751;0,1513;-0,1405;-0,0221;-0,0279;-0,0206;
0,293752;-0,0407;-0,3033;0,0885;-0,0026;0,0209;0,0038;
0,393686;0,1435;0,3410;-0,0944;-0,0099;0,0014;-0,0011;
0,494438;-0,1942;-0,2850;-0,2591;-0,0221;-0,0231;-0,0047;
0,594687;-0,3981;0,1404;-0,2983;0,0218;0,0258;-0,0035;
0,694588;0,4815;0,4105;-0,3815;0,0060;0,0209;-0,0047;
0,794678;-0,6949;0,5677;-0,8620;-0,0050;-0,0414;-0,0072;
0,894800;0,7230;0,4088;-0,3270;-0,0466;0,0502;0,0124;
0,995619;-1,5869;0,0624;-0,3487;0,0927;0,0600;-0,0072;
1,095490;-0,0305;-1,1456;-1,5298;-0,0270;0,0246;0,0392;
1,195528;-1,1157;1,2005;0,1848;0,1257;0,0832;0,1028;
1,295798;-0,8488;-0,2089;-0,5414;0,0463;0,0979;0,1223;
1,395835;-0,4656;-1,1024;-1,6152;-0,0515;0,0539;0,0771;
1,495843;-0,4213;-0,7756;-2,0212;0,0011;-0,0512;-0,1049;
1,596214;-0,2428;0,8051;-1,4265;-0,0429;-0,0560;-0,1098;
1,696737;-0,5944;0,3280;-0,0507;0,0499;0,1651;0,1712;
1,796110;-0,2890;0,7905;-0,7096;0,0304;0,0050;-0,0841;
1,896756;-0,9985;0,6981;-0,8163;-0,0148;0,0063;0,0283;
1,996768;-0,8666;0,0759;-0,8348;0,0927;0,0564;-0,0035;
2,096900;-0,7588;0,1763;-0,3906;-0,0649;0,1028;0,0979;
2,197007;0,1906;0,9432;-1,4189;0,0267;0,0600;0,0564;
2,297541;-1,2269;-0,1686;-1,4279;0,0548;0,0356;0,0234;
2,398321;0,2132;0,1090;-1,5462;-0,0698;0,1382;0,0002;
2,498718;-0,9099;-0,9185;-1,2289;0,0084;0,0747;0,1016;
2,598866;0,4837;0,1237;-0,0829;-0,0307;0,1162;0,1052;
2,699149;-0,2363;-0,5118;-0,3634;-0,0038;0,0612;0,0686;
2,799177;-0,0792;0,7507;-0,0138;0,0011;0,0564;-0,0817;
2,899309;-0,3815;-0,8778;-1,0184;-0,0050;0,0283;0,0930;
2,999185;-1,0185;-1,7896;-1,1158;0,0866;0,0686;0,0967;
3,099024;0,5057;-0,3674;0,2005;0,0292;0,0686;0,0783;
3,199810;0,1554;-0,6193;-0,1957;-0,0319;0,0099;0,0283;
3,300152;0,4617;0,3438;0,5363;0,0035;-0,0182;0,0173;
3,400152;-0,1216;0,4155;0,4446;-0,0099;0,0124;0,0185;
3,500493;0,3935;-0,5658;-0,1996;-0,0002;-0,0206;-0,0218;
3,600727;0,9015;0,1017;-0,0027;0,0389;-0,0267;-0,0841;
3,701121;-0,2777;-0,1310;-0,0133;-0,0307;-0,0695;-0,0035;
3,801339;-0,0417;0,0097;-0,3046;0,0145;-0,0145;0,0124;
3,901577;0,4807;0,8002;0,3079;0,0072;-0,0047;0,0246;
4,001556;0,1346;0,6267;0,7141;0,0389;-0,0023;-0,0084;
4,102319;0,0762;-0,2317;-0,3003;0,0047;-0,0451;0,0197;
4,202107;0,1889;0,2297;0,4562;0,0353;0,0050;-0,0353;
4,302198;0,3234;0,5813;0,0827;0,0096;-0,0206;-0,0243;
4,402602;0,1608;0,3931;-0,4236;0,0023;-0,0878;-0,0744;
4,502650;0,3983;-0,3061;0,0570;-0,0026;-0,0573;0,0160;
4,602705;0,1178;-0,3687;0,2934;-0,0136;-0,0512;-0,0365;
4,702803;0,4963;0,0346;0,5581;0,0573;-0,0451;0,0038;
4,803133;-0,0025;-0,6361;-0,0500;-0,0014;-0,0463;0,0771;
4,903256;0,1386;-0,0189;0,3545;-0,0014;-0,0890;-0,0341;
5,004202;0,6304;1,5432;0,6420;0,0805;-0,0780;-0,0365;
5,105376;1,1130;0,2776;-0,2666;0,0560;-0,0683;-0,0451;
5,205314;0,7540;-0,5353;-0,3299;-0,0014;-0,1037;0,0429;
5,305573;0,2511;-1,0646;-1,3893;-0,0441;-0,1403;0,0429;
5,405631;1,2317;-1,1202;-0,4916;-0,0087;-0,1489;0,0185;
5,506130;1,5905;0,5786;-0,5159;-0,0368;-0,1660;-0,0328;
5,606053;1,9883;1,1812;0,4834;0,0377;-0,1281;-0,0805;
5,706177;1,2920;0,6148;0,6617;0,0047;-0,1501;-0,0548;
5,806126;1,1313;-0,6277;-0,3250;-0,0551;-0,1990;0,0283;
5,906401;1,3333;0,1874;-0,5700;-0,0832;-0,2051;-0,1342;
6,006699;0,7527;-0,2998;0,2606;-0,0954;-0,1660;-0,0658;
6,106932;0,0594;0,0436;0,8480;-0,0417;-0,1538;-0,0646;
6,207393;0,8238;-1,3227;-0,6562;-0,0478;-0,1526;0,0221;
6,307450;-0,0311;-0,2905;0,6341;0,0206;-0,0341;-0,0072;
6,408243;-0,6203;-1,0677;0,2005;0,0182;-0,1122;0,0612;
6,508057;0,6755;1,4703;0,8101;-0,0002;-0,0951;-0,0744;
6,608054;0,3453;-0,5024;0,7686;-0,0124;-0,0157;0,0258;
6,709788;-0,4506;-0,2178;0,3318;-0,0173;-0,0414;-0,0304;
6,810218;0,5219;0,1323;0,1632;-0,0454;-0,0634;-0,0988;
6,909758;0,1580;-0,5121;0,6309;-0,0270;-0,0793;0,0209;
7,010041;-0,5940;-0,9314;0,2833;-0,0490;-0,0316;0,0539;
7,110261;-1,2913;-2,2923;-0,1901;-0,0185;-0,0170;0,0918;
7,210246;0,1714;0,8976;1,7921;0,1220;0,0258;0,0454;
7,310362;-0,1912;-0,3893;1,5935;0,0108;0,0637;0,0454;
7,411373;0,4686;-0,7109;0,9391;-0,0649;-0,0279;-0,0414;
7,510606;-0,7313;0,8164;0,8677;-0,0417;-0,0096;-0,1013;
7,610772;0,3608;0,1977;0,6613;-0,0759;-0,0402;-0,0817;
7,711978;-1,2562;-0,1618;1,4264;0,0194;0,0099;-0,0194;
7,811184;-1,0189;-0,2254;1,7770;-0,0392;0,0698;0,0050;
7,911937;-1,9671;0,4918;0,9704;0,0463;0,0185;0,0942;
8,012597;-1,1589;-1,7220;1,2605;-0,0331;0,1553;0,1248;
8,111956;-1,6126;-0,4573;1,8464;-0,0441;0,1272;0,1040;
8,212243;-1,2928;0,9862;2,5252;0,0536;0,1492;0,0735;
8,312891;-1,9087;-0,9797;2,8692;0,0365;0,1883;0,1602;
8,413170;-2,0177;-1,3001;0,8081;-0,0539;0,1834;0,0392;
8,513194;-1,7307;0,3476;2,2428;0,0732;0,2140;-0,0182;
8,613148;-1,1626;-0,2728;2,0041;0,0915;0,1272;0,0881;
8,713576;-2,2031;-0,0766;2,5359;-0,0197;0,1981;0,0845;
8,813935;-2,1219;-0,9551;1,6533;0,0548;0,2579;0,0722;
8,914783;-2,4561;-0,4561;1,7211;-0,1064;0,2469;0,0344;
9,014201;-2,2746;0,0711;3,0656;0,0121;0,2836;0,1394;
9,114533;-2,2382;-1,0561;1,9224;0,0231;0,4155;0,1846;
9,214637;-1,0521;0,6386;4,1042;0,0426;0,2873;0,0771;
9,314915;-3,2678;-0,1837;1,8484;0,0475;0,2897;0,0747;
9,415295;-2,2693;-0,2916;2,0311;-0,0124;0,3679;0,0979;
9,516155;-4,4773;1,0750;3,5487;0,0670;0,4265;-0,0988;
9,615245;-2,7872;-0,4822;1,4353;0,2002;0,2201;0,1712;
9,715865;-2,9292;-1,0952;1,5602;0,1159;0,4827;-0,0951;
9,816816;-4,3419;-1,9836;-1,3135;-0,0124;0,3239;0,2408;
9,916812;0,4895;-1,9220;2,2933;0,0463;0,4827;0,0221;
10,016946;-5,2585;-1,6927;1,1245;-0,1309;0,3508;0,2042;
10,117269;-2,1263;0,2596;1,5864;-0,0283;0,4974;0,1040;
10,217593;-2,7665;0,3553;3,0325;0,1281;0,4522;0,0832;
10,317252;-1,5064;-1,1784;0,3141;-0,0417;0,4094;-0,0267;
10,418258;-2,4381;-0,1076;1,4977;0,1868;0,4485;0,0845;
10,518946;-2,7736;-1,9504;1,2292;-0,1248;0,4119;0,1113;
10,618684;-2,1718;0,9312;2,8112;0,0524;0,4656;0,1419;
10,719409;-2,1635;-0,0286;1,6047;-0,0564;0,3923;0,0270;
10,819677;-2,0642;-0,0118;2,0609;-0,0124;0,4925;0,0918;
10,920072;-1,9995;0,1180;1,6627;-0,0625;0,4351;0,0380;
11,019879;-2,6336;0,3176;1,9345;0,0121;0,3960;0,1578;
11,119928;-1,4169;1,0390;2,2134;0,0023;0,4571;-0,0475;
11,220194;-2,7050;-1,2143;1,1762;-0,0490;0,4388;0,0735;
11,320694;-2,4622;-0,6613;1,4585;0,0170;0,5096;0,0551;
11,420712;-2,4954;-1,3718;1,2020;-0,0490;0,4595;0,1553;
11,520833;-2,0332;-1,1374;1,4454;-0,0392;0,4021;0,1321;
11,620688;-2,0458;0,2497;1,9958;-0,0148;0,4351;0,1297;
11,720589;-1,8839;-0,1492;1,1538;-0,0160;0,4461;-0,0096;
11,821037;-3,0054;-0,0449;2,3533;0,0548;0,4888;0,1565;
11,921223;-2,2697;-0,8893;1,9535;-0,0136;0,5011;0,0490;
12,021495;-2,0602;0,1928;2,0401;0,0597;0,4937;0,0735;
12,121775;-2,8323;-0,5960;1,8374;0,0267;0,4009;0,1419;
12,221743;-1,6635;-0,8068;2,6055;-0,0173;0,4913;0,0307;
12,322087;-2,4537;-0,7091;2,3016;0,0389;0,4534;0,1516;
12,422366;-2,3512;-0,2175;1,9749;0,0084;0,4913;0,0808;
12,523569;-2,1403;-0,5224;2,2571;-0,0417;0,4766;0,1101;
12,623449;-1,9595;-0,1437;2,0637;0,0499;0,4644;0,1199;
12,724577;-2,7157;0,4871;3,0610;0,0732;0,4534;0,0551;
12,824805;-2,1460;-0,0192;3,1402;-0,0063;0,4791;0,1223;
12,924428;-2,9116;-0,9959;2,3590;-0,0576;0,4876;0,1309;
13,024340;-2,1654;-2,0964;2,2970;-0,0600;0,5512;0,1052;
13,125618;-2,1218;0,5872;2,4535;-0,0490;0,4131;0,0967;
13,225642;-1,9145;-2,2416;0,8842;-0,1345;0,4461;0,0307;
13,325871;-3,5803;-2,0452;1,1947;-0,1370;0,3948;0,1626;
13,426355;-1,7149;1,1963;4,0237;0,0927;0,5231;0,0588;
13,526652;-2,7603;-1,2739;2,6344;-0,0845;0,4351;0,1345;
13,627642;-1,6036;-0,5978;2,7075;-0,1138;0,4473;0,0454;
13,727442;-2,8755;-1,1523;3,0517;-0,0551;0,4632;0,1407;
13,829095;-2,9253;-1,2673;3,8601;-0,0270;0,4265;0,1602;
13,928656;-1,4619;-1,2450;3,3999;-0,0197;0,4998;0,1651;
14,028564;-3,3104;-2,1069;2,6806;0,0096;0,3801;0,1834;
14,129077;-1,2315;-0,6007;3,8025;0,1892;0,4082;0,1810;
14,228831;-0,9307;0,8057;4,5944;-0,0234;0,4216;0,1174;
14,329798;-0,7004;-0,8586;3,6809;0,0793;0,4974;0,0783;
14,429337;-0,7441;-2,0707;0,8506;-0,1651;0,3813;0,0783;
14,529415;-1,8324;-0,5726;3,1954;0,0011;0,4424;0,1309;
14,630410;-1,0769;-0,5426;1,8170;-0,0906;0,4400;0,0954;
14,730664;-0,1550;0,1365;3,8142;0,1306;0,4986;0,0625;
14,830992;-2,3105;0,0455;4,7785;0,1049;0,4412;0,1895;
14,931167;-1,3798;-0,8157;3,4607;0,0438;0,4791;0,1199;
15,031404;-2,3775;-0,9524;3,0604;-0,0026;0,5047;0,1052;
15,131501;-1,9553;0,1987;3,3880;0,0854;0,5133;0,0881;
15,231699;-1,8255;-0,4286;2,9869;-0,0087;0,4778;0,0380;
15,331745;-1,0291;0,2163;3,0591;0,1269;0,4375;0,1187;
15,431632;-2,0383;-1,7429;2,0178;0,0548;0,4033;0,0906;
15,532195;-2,4120;-0,4080;3,8163;0,1318;0,4791;0,0954;
15,631983;-2,4111;-0,7732;2,3580;-0,0319;0,4265;0,0759;
15,732604;-1,3943;0,7794;2,8238;0,0157;0,4363;0,1480;
15,832544;-3,4851;-2,2121;3,0315;0,0951;0,5536;0,1553;
15,932859;-2,5796;-0,3596;3,1941;0,0548;0,5365;0,0625;
16,033017;-2,8643;-1,4965;2,2109;-0,0356;0,4131;0,1089;
16,133088;-2,1213;-0,6986;2,5979;-0,1150;0,4620;0,0551;
16,233545;-2,5444;-1,0236;2,8449;-0,1602;0,4021;0,1052;
16,333502;-2,8438;-1,2318;2,9682;0,0157;0,4937;0,0893;
16,433556;-2,3245;-1,7126;1,6718;-0,1138;0,4705;0,1028;
16,534045;-1,8702;0,1479;2,9757;-0,0038;0,4962;0,1761;
16,633614;-3,4811;-1,7181;2,0103;0,0047;0,4461;0,0539;
16,734112;-2,2871;0,1808;2,0662;-0,0722;0,4424;0,0649;
16,834076;-3,1237;-1,0243;2,6551;0,0622;0,4852;0,1272;
16,934730;-0,9169;-0,4983;2,4801;0,0121;0,4950;0,1174;
17,034808;-2,2409;-0,8531;2,0991;-0,1370;0,3435;0,0808;
17,134954;-1,2137;0,4952;2,3901;0,0170;0,2323;0,0954;
17,235188;0,7201;0,2756;2,2788;0,0756;0,2860;0,1052;
17,335062;1,3487;0,1017;0,7961;0,1489;0,2176;0,0564;
17,435397;2,3320;-1,9631;1,0612;-0,0881;0,0845;0,0906;
17,535560;2,2173;-0,7198;1,8114;0,0206;0,0918;0,1003;
17,635307;1,7664;-1,1797;1,6090;-0,0392;0,0991;0,0478;
17,735975;1,1933;-1,1572;0,3213;-0,0478;-0,0658;-0,0023;
17,836591;3,1484;-0,6092;1,6093;-0,0270;-0,0414;-0,0512;
17,936542;3,0412;-0,4852;0,2585;-0,1064;-0,1159;0,0307;
18,036628;2,6964;-0,3879;0,7668;-0,0759;-0,1294;-0,0267;
18,137212;2,6652;-1,8953;-0,5186;-0,1235;-0,1794;-0,0194;
18,236680;3,1021;0,1258;-0,0146;0,0768;-0,1770;-0,0646;
18,337029;3,6723;0,8964;0,6123;0,0353;-0,1330;-0,1538;
18,437074;1,4183;0,2782;0,0221;-0,0344;-0,1819;-0,0267;
18,538113;2,7539;-0,6180;-1,9084;0,0487;-0,2589;-0,1110;
18,637755;2,9741;0,4781;0,7077;0,2002;-0,1856;-0,1049;
18,738050;3,5629;-0,3295;-1,8924;-0,0930;-0,1672;-0,1403;
18,838829;3,1166;-0,0104;0,2582;0,2112;-0,1904;-0,0683;
18,938473;1,6459;-0,8007;-1,2019;-0,1174;-0,2784;-0,0084;
19,038415;4,6265;-0,5575;-1,4308;-0,1468;-0,2894;0,0405;
19,139045;4,0803;1,6230;1,6657;0,1294;-0,1709;-0,2161;
19,238333;3,2945;1,4719;-0,4449;-0,1590;-0,2882;0,0026;
19,338584;4,0907;0,8498;-0,3586;0,0560;-0,0854;0,0038;
19,438898;3,5902;-0,5276;0,1296;0,0878;-0,2515;0,0258;
19,538625;2,9287;0,2202;0,8661;-0,1199;-0,2698;-0,0695;
19,638941;1,7199;-0,7079;-0,9439;-0,0099;-0,3114;-0,0108;
19,739666;3,6644;1,0223;-0,3399;0,0353;-0,2735;0,0918;
19,839724;2,4077;-1,6616;-0,2601;0,0194;-0,2271;-0,0047;
19,939624;2,9040;0,4940;1,2913;0,0658;-0,1868;-0,0096;
20,040009;2,2054;0,6839;-0,3925;-0,0649;-0,2369;-0,0646;
20,140679;1,6431;-0,3561;0,0304;0,0084;-0,1587;0,0185;
20,240472;2,7256;0,7766;-0,4085;0,0414;-0,2149;-0,0573;
20,340699;2,2114;-0,6019;0,3643;0,0231;-0,0817;0,0392;
20,440586;1,9364;-0,7507;-0,1701;0,0243;-0,0732;0,0075;
20,540907;2,0272;-0,9738;-0,3296;-0,0014;-0,0756;0,0832;
20,640827;1,0463;-1,3594;-0,7886;0,0096;-0,1892;0,0148;
20,741479;2,0624;-0,4433;0,9001;-0,0038;-0,0890;-0,0011;
20,841516;2,1051;1,7360;1,0953;0,0683;-0,1465;-0,0927;
20,941333;2,1723;-0,8704;-0,4063;-0,0576;-0,0316;-0,1367;
21,041598;0,5889;-0,2403;1,4145;0,0927;-0,0732;0,0466;
21,142481;0,7352;-0,4107;-0,0961;-0,0796;-0,1611;-0,0267;
21,242075;1,9148;1,9438;2,3073;0,0512;-0,0304;-0,1074;
21,342597;-1,4009;-2,0931;-1,2347;-0,1260;-0,1049;0,0295;
21,442343;0,7101;1,3012;1,3366;0,1220;0,0246;0,0368;
21,542573;0,1075;-0,7122;1,4307;0,0316;0,0515;-0,0194;
21,642642;0,0059;-0,1646;0,4975;-0,0625;-0,0609;0,0148;
21,742620;-0,4023;0,4727;1,6907;0,0328;0,0026;-0,0512;
21,842635;0,2553;-1,7248;-0,5804;-0,0612;-0,0866;0,0527;
21,942688;-0,7532;0,0695;1,2269;0,1086;-0,0560;-0,0854;
22,042787;-0,3993;-0,5238;1,0676;-0,0185;-0,0157;0,0283;
22,142842;0,2958;-0,6974;0,0192;0,0047;-0,0903;-0,0866;
22,242942;-0,7159;0,3640;0,8195;0,1269;-0,0218;0,0661;
22,343076;0,1212;-1,6103;0,5030;-0,0197;0,0673;0,1199;
22,443158;-0,0416;-0,3346;1,5806;0,1122;0,0661;0,0710;
22,543221;0,1023;-1,1537;1,0764;-0,0832;0,0246;0,0673;
22,643384;0,8378;0,0830;1,3122;-0,1211;0,0466;-0,0389;
22,743438;-1,0450;-0,7498;0,3224;0,0023;-0,0060;-0,0744;
22,843531;0,2331;0,9517;1,7563;0,0047;0,0307;-0,1269;
22,943581;-1,0685;0,1541;1,0498;0,0426;-0,0341;0,0417;
